City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Petropavlovsk-Kamchatskiy,RU,2021-03-14 21:28:05,53.0452,158.6483,26.6,59,0,11.18
271,Huron,US,2021-03-14 21:28:05,41.1501,-82.5499,41.0,55,68,10.0
272,Vilyuysk,RU,2021-03-14 21:28:06,63.7553,121.6247,-7.56,94,33,8.23
273,San Juan,AR,2021-03-14 21:23:12,-31.5375,-68.5364,84.96,37,16,11.14
274,Pisco,PE,2021-03-14 21:28:07,-13.7,-76.2167,86.0,48,0,13.8
275,Gat,IL,2021-03-14 21:28:07,31.61,34.7642,59.0,77,100,1.01
276,Durban,ZA,2021-03-14 21:28:08,-29.8579,31.0292,75.99,83,20,12.66
277,Sinnamary,GF,2021-03-14 21:28:08,5.3833,-52.95,77.95,86,100,8.59
278,Samarai,PG,2021-03-14 21:28:09,-10.6167,150.6667,81.93,74,90,5.1
279,Niquero,CU,2021-03-14 21:28:10,20.0431,-77.5828,81.9,61,20,11.56
280,Vardablur,AM,2021-03-14 21:28:10,40.9708,44.5089,26.6,86,40,2.3
281,Am Timan,TD,2021-03-14 21:28:11,11.0297,20.2827,84.29,16,87,0.51
282,Liverpool,GB,2021-03-14 21:28:11,53.4106,-2.9779,48.2,87,100,19.57
283,Nabire,ID,2021-03-14 21:25:08,-3.3667,135.4833,74.48,89,25,4.05
284,Cidreira,BR,2021-03-14 21:28:12,-30.1811,-50.2056,75.47,81,9,10.0
285,Lorengau,PG,2021-03-14 21:28:12,-2.0226,147.2712,80.96,74,98,1.74
286,Talnakh,RU,2021-03-14 21:28:13,69.4865,88.3972,-22.81,99,100,2.35
287,Tazovskiy,RU,2021-03-14 21:28:13,67.4667,78.7,-0.58,97,100,3.71
288,Severo-Yeniseyskiy,RU,2021-03-14 21:28:14,60.3725,93.0408,0.99,94,100,11.41
289,Cacador,BR,2021-03-14 21:24:22,-26.7753,-51.015,71.83,77,62,1.28
290,Rocha,UY,2021-03-14 21:28:14,-34.4833,-54.3333,69.08,70,0,6.49
